epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.094,3.20158,4.35172,4.23796,0,0,0,0,0,150.75,0,2e-05,2e-05,2e-05
2,19.274,4.72013,5.32577,4.22434,0,0,0,0,0,150.75,0,5.406e-05,5.406e-05,5.406e-05
3,20.2133,2.70828,4.53187,4.35365,0,0,0,0,0,150.75,0,8.02e-05,8.02e-05,8.02e-05
4,21.2795,3.06229,4.2076,4.26969,0,0,0,0,0,150.75,0,9.842e-05,9.842e-05,9.842e-05
5,22.3169,3.70225,4.10362,4.24666,0,0,0,0,0,150.75,0,0.00010872,0.00010872,0.00010872
6,23.2894,3.59651,4.26746,4.32258,0,0,0,0,0,150.75,0,0.0001111,0.0001111,0.0001111
7,24.3162,3.88153,4.18954,4.32759,0,0,0,0,0,150.75,0,0.00010556,0.00010556,0.00010556
8,25.3893,3.76431,4.12869,4.28572,0,0,0,0,0,150.75,0,9.21e-05,9.21e-05,9.21e-05
9,26.4795,3.5805,3.99393,4.24059,0,0,0,0,0,150.75,0,7.072e-05,7.072e-05,7.072e-05
10,28.5637,3.46967,4.3273,4.2075,0,0,0,0,0,150.75,0,4.142e-05,4.142e-05,4.142e-05
