epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.53282,3.88444,3.89141,4.21326,0.00111,0.15385,0.00075,0.00044,3.11911,4.14357,4.15932,0,0,0
2,5.07267,3.74075,4.00171,4.31742,0.00111,0.15385,0.00075,0.00044,3.11911,4.14568,4.15924,1.9901e-05,1.9901e-05,1.9901e-05
3,7.7639,3.7388,3.98994,4.20923,0.00111,0.15385,0.00075,0.00044,3.11911,4.14568,4.15933,3.9604e-05,3.9604e-05,3.9604e-05
4,10.4473,3.62024,4.03199,4.23228,0.00111,0.15385,0.00074,0.00043,3.11917,4.14568,4.15931,5.9109e-05,5.9109e-05,5.9109e-05
5,12.7443,3.88699,4.07594,4.2505,0.00111,0.15385,0.00075,0.00044,3.11917,4.14568,4.15934,7.8416e-05,7.8416e-05,7.8416e-05
6,18.233,3.76836,4.0192,4.25623,0.00111,0.15385,0.00075,0.00044,3.11924,4.14552,4.15967,9.7525e-05,9.7525e-05,9.7525e-05
7,21.2021,3.75083,3.86218,4.27141,0.00111,0.15385,0.00074,0.00047,3.11902,4.14757,4.15998,0.000116436,0.000116436,0.000116436
8,24.7652,3.79261,4.02362,4.19271,0.00111,0.15385,0.00075,0.0004,3.11902,4.14556,4.15974,0.000135149,0.000135149,0.000135149
9,30.22,4.00567,4.39221,4.20291,0.00111,0.15385,0.00074,0.00047,3.11843,4.14452,4.15951,0.000153664,0.000153664,0.000153664
10,38.5286,3.70603,3.81145,4.1757,0.00111,0.15385,0.00074,0.00048,3.1188,4.14298,4.15935,0.000171981,0.000171981,0.000171981
11,50.9354,3.49037,3.89427,4.22402,0.00111,0.15385,0.00074,0.00043,3.11835,4.14036,4.15849,0.0001901,0.0001901,0.0001901
12,59.6741,3.52457,3.69236,4.16737,0.00111,0.15385,0.00075,0.00044,3.11823,4.1382,4.15823,0.000208021,0.000208021,0.000208021
13,70.5849,3.69189,3.67793,4.13384,0.00111,0.15385,0.00075,0.00037,3.11719,4.12843,4.15748,0.000225744,0.000225744,0.000225744
14,75.4504,3.13833,3.64208,4.13686,0.00111,0.15385,0.00075,0.00033,3.117,4.12593,4.15701,0.000243269,0.000243269,0.000243269
15,85.2053,3.27594,3.2818,4.11356,0.00111,0.15385,0.00075,0.00033,3.11687,4.11966,4.15592,0.000260596,0.000260596,0.000260596
16,94.839,3.61728,5.05574,4.10981,0.00111,0.15385,0.00075,0.00033,3.11477,4.10746,4.15526,0.000277725,0.000277725,0.000277725
17,107.481,3.27487,3.52419,4.06968,0.00111,0.15385,0.00076,0.00033,3.11462,4.10464,4.15483,0.000294656,0.000294656,0.000294656
18,116.557,3.40053,3.5547,4.02255,0.00111,0.15385,0.00076,0.00033,3.11462,4.10464,4.15483,0.000311389,0.000311389,0.000311389
19,124.126,2.76985,3.44141,4.05127,0.00111,0.15385,0.00076,0.00033,3.11297,4.10716,4.15426,0.000327924,0.000327924,0.000327924
20,130.19,3.36609,3.21098,3.95629,0.00111,0.15385,0.00076,0.00033,3.11297,4.10716,4.15426,0.000344261,0.000344261,0.000344261
21,145.381,3.05671,3.24026,3.98797,0.00111,0.15385,0.00076,0.00033,3.11278,4.05659,4.15443,0.0003604,0.0003604,0.0003604
22,155.474,3.43349,3.52644,3.9205,0.00111,0.15385,0.00076,0.00033,3.11278,4.05659,4.15443,0.000376341,0.000376341,0.000376341
23,163.919,3.37417,3.44948,3.96361,0.00111,0.15385,0.00075,0.00033,3.11461,4.05335,4.15437,0.000392084,0.000392084,0.000392084
24,173.907,3.09776,3.28193,3.89717,0.00111,0.15385,0.00075,0.00033,3.11461,4.05335,4.15437,0.000407629,0.000407629,0.000407629
25,181.204,3.5002,3.13947,3.83414,0.00111,0.15385,0.00075,0.00033,3.1168,4.08099,4.1562,0.000422976,0.000422976,0.000422976
26,190.453,3.4785,3.38459,3.91159,0.00111,0.15385,0.00075,0.00033,3.1168,4.08099,4.1562,0.000438125,0.000438125,0.000438125
27,200.595,3.21676,2.98249,3.76473,0.00111,0.15385,0.00074,0.00037,3.11995,4.09831,4.15864,0.000453076,0.000453076,0.000453076
28,205.862,3.14698,3.20846,3.75769,0.00111,0.15385,0.00074,0.00037,3.11995,4.09831,4.15864,0.000467829,0.000467829,0.000467829
29,211.93,2.95293,3.18327,3.8143,0.00111,0.15385,0.00075,0.00037,3.12276,4.03922,4.16299,0.000482384,0.000482384,0.000482384
30,225.491,3.23278,2.99535,3.73767,0.00111,0.15385,0.00075,0.00037,3.12276,4.03922,4.16299,0.000496741,0.000496741,0.000496741
31,232.504,3.27793,3.18138,3.79539,0.00111,0.15385,0.00071,0.00036,3.12516,4.06314,4.16643,0.0005109,0.0005109,0.0005109
32,246.339,3.08848,2.97631,3.66386,0.00111,0.15385,0.00071,0.00036,3.12516,4.06314,4.16643,0.000524861,0.000524861,0.000524861
33,254.591,3.10145,2.80771,3.65677,0.00111,0.15385,0.00075,0.00056,3.13556,4.03229,4.1718,0.000538624,0.000538624,0.000538624
34,277.554,3.01507,2.92355,3.64875,0.00111,0.15385,0.00075,0.00056,3.13556,4.03229,4.1718,0.000552189,0.000552189,0.000552189
35,297.637,2.85326,2.70064,3.57306,0.00111,0.15385,0.00074,0.00034,3.1375,4.1278,4.17835,0.000565556,0.000565556,0.000565556
36,302.932,3.08333,2.69645,3.50085,0.00111,0.15385,0.00074,0.00034,3.1375,4.1278,4.17835,0.000578725,0.000578725,0.000578725
37,312.902,3.04877,2.8106,3.70211,0.00111,0.15385,0.00143,0.00091,3.15229,4.11591,4.18702,0.000591696,0.000591696,0.000591696
38,334.196,2.73611,2.50987,3.35044,0.00111,0.15385,0.00143,0.00091,3.15229,4.11591,4.18702,0.000604469,0.000604469,0.000604469
39,354.544,2.83663,2.70109,3.38952,0.00111,0.15385,0.00146,0.00093,3.15716,4.12116,4.19514,0.000617044,0.000617044,0.000617044
40,372.001,2.74027,2.63656,3.40283,0.00111,0.15385,0.00146,0.00093,3.15716,4.12116,4.19514,0.000629421,0.000629421,0.000629421
41,393.596,2.77132,2.79386,3.4704,0.00111,0.15385,0.0014,0.00089,3.16961,4.15468,4.20507,0.0006416,0.0006416,0.0006416
42,405.395,2.99988,2.73295,3.50298,0.00111,0.15385,0.0014,0.00089,3.16961,4.15468,4.20507,0.000653581,0.000653581,0.000653581
43,410.464,2.72617,2.74468,3.40317,0.00111,0.15385,0.00142,0.00091,3.17518,3.86945,4.21309,0.000665364,0.000665364,0.000665364
44,424.088,3.1757,3.17495,3.41868,0.00111,0.15385,0.00142,0.00091,3.17518,3.86945,4.21309,0.000676949,0.000676949,0.000676949
45,434.001,2.92016,2.64993,3.34189,0.00111,0.15385,0.00121,0.00069,3.18823,3.93358,4.22174,0.000688336,0.000688336,0.000688336
46,440.065,2.92726,2.83537,3.31069,0.00111,0.15385,0.00121,0.00069,3.18823,3.93358,4.22174,0.000699525,0.000699525,0.000699525
47,445.927,2.76134,2.60475,3.27295,0.00111,0.15385,0.00151,0.0008,3.19541,3.95474,4.22634,0.000710516,0.000710516,0.000710516
48,464.758,2.81182,2.53801,3.26038,0.00111,0.15385,0.00151,0.0008,3.19541,3.95474,4.22634,0.000721309,0.000721309,0.000721309
49,469.909,2.74139,2.4007,3.05788,0.00111,0.15385,0.00135,0.00069,3.18782,3.95151,4.22943,0.000731904,0.000731904,0.000731904
50,480.386,2.61971,2.52587,3.13512,0.00111,0.15385,0.00135,0.00069,3.18782,3.95151,4.22943,0.000742301,0.000742301,0.000742301
51,491.824,2.75306,3.21562,3.29066,0.00111,0.15385,0.0014,0.00088,3.19416,3.87852,4.23716,0.0007525,0.0007525,0.0007525
52,497.276,2.54566,2.55079,3.19504,0.00111,0.15385,0.0014,0.00088,3.19416,3.87852,4.23716,0.000762501,0.000762501,0.000762501
53,511.766,2.99276,2.67902,3.44404,0.00111,0.15385,0.0014,0.00088,3.19416,3.87852,4.23716,0.000772304,0.000772304,0.000772304
54,519.803,2.59951,2.32566,3.12704,0.00111,0.15385,0.00166,0.00094,3.20251,3.86115,4.25138,0.000781909,0.000781909,0.000781909
55,545.04,3.01973,2.66862,3.26232,0.00111,0.15385,0.00166,0.00094,3.20251,3.86115,4.25138,0.000791316,0.000791316,0.000791316
56,559.467,3.00114,2.49636,3.2484,0.00111,0.15385,0.00166,0.00094,3.20251,3.86115,4.25138,0.000800525,0.000800525,0.000800525
57,575.012,2.77505,2.3834,3.2045,0.00111,0.15385,0.00139,0.00079,3.20957,3.87837,4.25817,0.000809536,0.000809536,0.000809536
58,585.623,2.69969,2.29596,2.96577,0.00111,0.15385,0.00139,0.00079,3.20957,3.87837,4.25817,0.000818349,0.000818349,0.000818349
59,591.198,2.53372,2.50189,3.16734,0.00111,0.15385,0.00139,0.00079,3.20957,3.87837,4.25817,0.000826964,0.000826964,0.000826964
60,601.955,2.64496,2.36115,3.0667,0.00111,0.15385,0.00131,0.00084,3.21337,3.9258,4.26347,0.000835381,0.000835381,0.000835381
61,606.91,2.61715,2.47424,3.16441,0.00111,0.15385,0.00131,0.00084,3.21337,3.9258,4.26347,0.0008436,0.0008436,0.0008436
62,621.404,2.55092,2.46542,3.09347,0.00111,0.15385,0.00131,0.00084,3.21337,3.9258,4.26347,0.000851621,0.000851621,0.000851621
63,635.556,2.67459,2.41173,3.16218,0.00221,0.07692,0.00137,0.00079,3.23948,152.454,4.289,0.000859444,0.000859444,0.000859444
64,644.917,2.82902,2.55126,3.17586,0.00221,0.07692,0.00137,0.00079,3.23948,152.454,4.289,0.000867069,0.000867069,0.000867069
65,655.2,2.70158,3.01768,2.94774,0.00221,0.07692,0.00137,0.00079,3.23948,152.454,4.289,0.000874496,0.000874496,0.000874496
66,666.238,2.71771,2.48086,2.99677,0.00647,0.15385,0.00425,0.00286,3.24018,3.98985,4.29584,0.000881725,0.000881725,0.000881725
67,681.94,2.70757,2.63079,3.23206,0.00647,0.15385,0.00425,0.00286,3.24018,3.98985,4.29584,0.000888756,0.000888756,0.000888756
68,708.535,2.68661,2.51353,3.16946,0.00647,0.15385,0.00425,0.00286,3.24018,3.98985,4.29584,0.000895589,0.000895589,0.000895589
69,723.501,2.5347,2.40026,2.93455,0.00113,0.15385,0.00235,0.00118,3.22186,3.99027,4.27379,0.000902224,0.000902224,0.000902224
70,729.237,2.53702,2.26388,2.9041,0.00113,0.15385,0.00235,0.00118,3.22186,3.99027,4.27379,0.000908661,0.000908661,0.000908661
71,739.277,2.43951,2.52324,3.0073,0.00113,0.15385,0.00235,0.00118,3.22186,3.99027,4.27379,0.0009149,0.0009149,0.0009149
72,749.882,2.65596,2.49888,2.9101,0.00114,0.15385,0.00238,0.001,3.20025,4.26996,4.24561,0.000920941,0.000920941,0.000920941
73,755.288,2.59332,2.67784,3.04954,0.00114,0.15385,0.00238,0.001,3.20025,4.26996,4.24561,0.000926784,0.000926784,0.000926784
74,761.08,2.49557,2.4793,2.99666,0.00114,0.15385,0.00238,0.001,3.20025,4.26996,4.24561,0.000932429,0.000932429,0.000932429
75,774.804,2.6685,2.58561,3.01003,0.00116,0.15385,0.00418,0.00177,3.20484,4.27478,4.24116,0.000937876,0.000937876,0.000937876
76,780.107,2.66401,2.29618,2.927,0.00116,0.15385,0.00418,0.00177,3.20484,4.27478,4.24116,0.000943125,0.000943125,0.000943125
77,795.296,2.39663,2.60264,3.03361,0.00116,0.15385,0.00418,0.00177,3.20484,4.27478,4.24116,0.000948176,0.000948176,0.000948176
78,800.328,2.72952,2.31339,3.01502,0.00115,0.15385,0.00409,0.00165,3.23773,4.28167,4.26486,0.000953029,0.000953029,0.000953029
79,810.862,2.63854,2.49076,3.02197,0.00115,0.15385,0.00409,0.00165,3.23773,4.28167,4.26486,0.000957684,0.000957684,0.000957684
80,821.735,2.45544,2.31046,2.88015,0.00115,0.15385,0.00409,0.00165,3.23773,4.28167,4.26486,0.000962141,0.000962141,0.000962141
81,834.595,2.72499,2.52722,3.05634,0.00114,0.15385,0.00218,0.00097,3.27561,4.09854,4.29607,0.0009664,0.0009664,0.0009664
82,839.531,2.5029,2.4821,2.66454,0.00114,0.15385,0.00218,0.00097,3.27561,4.09854,4.29607,0.000970461,0.000970461,0.000970461
83,849.171,2.34799,2.402,2.70147,0.00114,0.15385,0.00218,0.00097,3.27561,4.09854,4.29607,0.000974324,0.000974324,0.000974324
84,858.537,2.48802,2.59479,3.01579,0.00116,0.15385,0.00237,0.00116,3.28706,3.97527,4.29901,0.000977989,0.000977989,0.000977989
85,867.366,2.40159,2.02071,2.62807,0.00116,0.15385,0.00237,0.00116,3.28706,3.97527,4.29901,0.000981456,0.000981456,0.000981456
86,878.908,2.61463,2.30606,2.93142,0.00116,0.15385,0.00237,0.00116,3.28706,3.97527,4.29901,0.000984725,0.000984725,0.000984725
87,883.804,2.35473,2.3638,2.86949,0.00116,0.15385,0.00237,0.00116,3.28706,3.97527,4.29901,0.000987796,0.000987796,0.000987796
88,898.971,2.35671,2.22094,2.8115,0.00117,0.15385,0.00237,0.00114,3.27778,3.96568,4.28736,0.000990669,0.000990669,0.000990669
89,905.739,2.44752,1.96961,2.6936,0.00117,0.15385,0.00237,0.00114,3.27778,3.96568,4.28736,0.000993344,0.000993344,0.000993344
90,915.958,2.69475,2.41196,2.94971,0.00117,0.15385,0.00237,0.00114,3.27778,3.96568,4.28736,0.000995821,0.000995821,0.000995821
91,930.547,2.24131,2.27029,2.72634,0.00117,0.15385,0.00237,0.00114,3.27778,3.96568,4.28736,0.0009981,0.0009981,0.0009981
92,937.787,2.54651,2.17749,2.80946,0.00543,0.15385,0.00414,0.00216,3.28291,3.97777,4.28646,0.00100018,0.00100018,0.00100018
93,955.654,2.58906,2.23999,2.90396,0.00543,0.15385,0.00414,0.00216,3.28291,3.97777,4.28646,0.00100206,0.00100206,0.00100206
94,960.819,2.54096,2.18816,2.80688,0.00543,0.15385,0.00414,0.00216,3.28291,3.97777,4.28646,0.00100375,0.00100375,0.00100375
95,966.534,2.99515,2.66208,3.34395,0.00543,0.15385,0.00414,0.00216,3.28291,3.97777,4.28646,0.00100524,0.00100524,0.00100524
96,981.225,2.6371,2.39644,2.84496,0.00583,0.15385,0.00405,0.00196,3.29333,3.99639,4.29182,0.00100653,0.00100653,0.00100653
97,997.389,2.62128,2.0148,2.83232,0.00583,0.15385,0.00405,0.00196,3.29333,3.99639,4.29182,0.00100762,0.00100762,0.00100762
98,1005.69,2.69585,2.21621,2.9408,0.00583,0.15385,0.00405,0.00196,3.29333,3.99639,4.29182,0.00100851,0.00100851,0.00100851
99,1012.57,2.7011,2.00816,2.84653,0.00583,0.15385,0.00405,0.00196,3.29333,3.99639,4.29182,0.0010092,0.0010092,0.0010092
100,1026.36,2.51582,2.1195,2.77517,0.00313,0.15385,0.00193,0.00095,3.29383,4.00768,4.28237,0.0010097,0.0010097,0.0010097
101,1036.76,2.39905,1.98116,2.50061,0.00313,0.15385,0.00193,0.00095,3.29383,4.00768,4.28237,0.00101,0.00101,0.00101
102,1046.07,2.50565,2.23161,2.90221,0.00313,0.15385,0.00193,0.00095,3.29383,4.00768,4.28237,0.0010001,0.0010001,0.0010001
103,1060.99,2.34939,1.87238,2.52679,0.00313,0.15385,0.00193,0.00095,3.29383,4.00768,4.28237,0.0009902,0.0009902,0.0009902
104,1067.45,2.49164,2.28253,2.79446,0.00772,0.15385,0.0049,0.0024,3.29114,3.97646,4.26853,0.0009803,0.0009803,0.0009803
105,1073.15,2.50491,2.10843,2.93493,0.00772,0.15385,0.0049,0.0024,3.29114,3.97646,4.26853,0.0009704,0.0009704,0.0009704
106,1091.65,2.52559,2.1287,2.74714,0.00772,0.15385,0.0049,0.0024,3.29114,3.97646,4.26853,0.0009605,0.0009605,0.0009605
107,1097.71,2.46109,2.30555,2.91116,0.00772,0.15385,0.0049,0.0024,3.29114,3.97646,4.26853,0.0009506,0.0009506,0.0009506
108,1103.66,2.4327,2.06891,2.73039,0.00766,0.15385,0.00486,0.00238,3.29753,3.95394,4.26134,0.0009407,0.0009407,0.0009407
109,1118.62,2.48652,1.92406,2.61203,0.00766,0.15385,0.00486,0.00238,3.29753,3.95394,4.26134,0.0009308,0.0009308,0.0009308
110,1133.13,2.42609,2.03066,2.79148,0.00766,0.15385,0.00486,0.00238,3.29753,3.95394,4.26134,0.0009209,0.0009209,0.0009209
111,1138.45,2.31328,1.93357,2.58941,0.00766,0.15385,0.00486,0.00238,3.29753,3.95394,4.26134,0.000911,0.000911,0.000911
112,1147.71,2.3646,2.11447,2.68563,0.00408,0.15385,0.00257,0.00137,3.29389,3.95518,4.25274,0.0009011,0.0009011,0.0009011
113,1158.2,2.42077,2.03672,2.77282,0.00408,0.15385,0.00257,0.00137,3.29389,3.95518,4.25274,0.0008912,0.0008912,0.0008912
114,1164.64,2.50449,2.64334,2.69824,0.00408,0.15385,0.00257,0.00137,3.29389,3.95518,4.25274,0.0008813,0.0008813,0.0008813
115,1174.35,2.20312,2.10338,2.68963,0.00408,0.15385,0.00257,0.00137,3.29389,3.95518,4.25274,0.0008714,0.0008714,0.0008714
116,1181.18,2.41591,2.12198,2.65934,0.00245,0.15385,0.00182,0.00084,3.29101,3.96446,4.2443,0.0008615,0.0008615,0.0008615
117,1192.08,2.38809,1.90234,2.62866,0.00245,0.15385,0.00182,0.00084,3.29101,3.96446,4.2443,0.0008516,0.0008516,0.0008516
118,1200.65,2.19504,2.08531,2.71908,0.00245,0.15385,0.00182,0.00084,3.29101,3.96446,4.2443,0.0008417,0.0008417,0.0008417
